file,part,iterations,maximum
results_mapping\revision2_confirmatory\space_time_holdout\hgb_run42\model.joblib,mean_dry,300,300
results_mapping\revision2_confirmatory\space_time_holdout\hgb_run42\model.joblib,mean_wet,300,300
results_mapping\revision2_confirmatory\space_time_holdout\hgb_prob_global_run101\model.joblib,mean_dry,300,300
results_mapping\revision2_confirmatory\space_time_holdout\hgb_prob_global_run101\model.joblib,mean_wet,300,300
results_mapping\revision2_confirmatory\space_time_holdout\hgb_prob_global_run11\model.joblib,mean_dry,300,300
results_mapping\revision2_confirmatory\space_time_holdout\hgb_prob_global_run11\model.joblib,mean_wet,300,300
results_mapping\revision2_confirmatory\space_time_holdout\hgb_prob_global_run23\model.joblib,mean_dry,300,300
results_mapping\revision2_confirmatory\space_time_holdout\hgb_prob_global_run23\model.joblib,mean_wet,300,300
results_mapping\revision2_confirmatory\space_time_holdout\hgb_prob_global_run42\model.joblib,mean_dry,300,300
results_mapping\revision2_confirmatory\space_time_holdout\hgb_prob_global_run42\model.joblib,mean_wet,300,300
results_mapping\revision2_confirmatory\space_time_holdout\hgb_prob_global_run71\model.joblib,mean_dry,300,300
results_mapping\revision2_confirmatory\space_time_holdout\hgb_prob_global_run71\model.joblib,mean_wet,300,300
results_mapping\revision2_confirmatory\space_time_holdout\hgb_prob_hetero_diag_run101\model.joblib,mean_dry,300,300
results_mapping\revision2_confirmatory\space_time_holdout\hgb_prob_hetero_diag_run101\model.joblib,mean_wet,300,300
results_mapping\revision2_confirmatory\space_time_holdout\hgb_prob_hetero_diag_run101\model.joblib,scale_dry,300,300
results_mapping\revision2_confirmatory\space_time_holdout\hgb_prob_hetero_diag_run101\model.joblib,scale_wet,300,300
results_mapping\revision2_confirmatory\space_time_holdout\hgb_prob_hetero_diag_run101\model.joblib,scale_total,300,300
results_mapping\revision2_confirmatory\space_time_holdout\hgb_prob_hetero_diag_run11\model.joblib,mean_dry,300,300
results_mapping\revision2_confirmatory\space_time_holdout\hgb_prob_hetero_diag_run11\model.joblib,mean_wet,300,300
results_mapping\revision2_confirmatory\space_time_holdout\hgb_prob_hetero_diag_run11\model.joblib,scale_dry,300,300
results_mapping\revision2_confirmatory\space_time_holdout\hgb_prob_hetero_diag_run11\model.joblib,scale_wet,300,300
results_mapping\revision2_confirmatory\space_time_holdout\hgb_prob_hetero_diag_run11\model.joblib,scale_total,300,300
results_mapping\revision2_confirmatory\space_time_holdout\hgb_prob_hetero_diag_run23\model.joblib,mean_dry,300,300
results_mapping\revision2_confirmatory\space_time_holdout\hgb_prob_hetero_diag_run23\model.joblib,mean_wet,300,300
results_mapping\revision2_confirmatory\space_time_holdout\hgb_prob_hetero_diag_run23\model.joblib,scale_dry,300,300
results_mapping\revision2_confirmatory\space_time_holdout\hgb_prob_hetero_diag_run23\model.joblib,scale_wet,300,300
results_mapping\revision2_confirmatory\space_time_holdout\hgb_prob_hetero_diag_run23\model.joblib,scale_total,300,300
results_mapping\revision2_confirmatory\space_time_holdout\hgb_prob_hetero_diag_run42\model.joblib,mean_dry,300,300
results_mapping\revision2_confirmatory\space_time_holdout\hgb_prob_hetero_diag_run42\model.joblib,mean_wet,300,300
results_mapping\revision2_confirmatory\space_time_holdout\hgb_prob_hetero_diag_run42\model.joblib,scale_dry,300,300
results_mapping\revision2_confirmatory\space_time_holdout\hgb_prob_hetero_diag_run42\model.joblib,scale_wet,300,300
results_mapping\revision2_confirmatory\space_time_holdout\hgb_prob_hetero_diag_run42\model.joblib,scale_total,300,300
