block,reason,stations
lat0_lon0,below_minimum,2
lat0_lon1,below_minimum,4
lat0_lon2,below_minimum,2
lat0_lon4,below_minimum,1
lat1_lon0,below_minimum,2
lat1_lon1,below_minimum,3
lat1_lon2,selected,12
lat1_lon4,selected,8
lat1_lon5,below_minimum,2
lat2_lon0,selected,8
lat2_lon1,selected,10
lat2_lon2,selected,17
lat2_lon3,below_minimum,3
lat2_lon4,outside_top20_after_southern_reservation,7
lat2_lon5,selected,17
lat3_lon0,selected,14
lat3_lon1,selected,76
lat3_lon2,selected,18
lat3_lon3,below_minimum,2
lat3_lon4,selected,27
lat3_lon5,outside_top20_after_southern_reservation,7
lat4_lon0,selected,92
lat4_lon1,selected,79
lat4_lon2,selected,47
lat4_lon3,selected,14
lat4_lon4,selected,69
lat4_lon5,selected,19
lat5_lon0,selected,19
lat5_lon1,selected,13
lat5_lon2,selected,11
lat5_lon3,selected,9
lat5_lon4,outside_top20_after_southern_reservation,8
lat5_lon5,outside_top20_after_southern_reservation,8
