block,role,stations
lat1_lon2,evaluation,12
lat1_lon2,training,401
lat1_lon2,early_validation,64
lat1_lon2,calibration,61
lat1_lon4,evaluation,8
lat1_lon4,training,404
lat1_lon4,early_validation,63
lat1_lon4,calibration,62
lat4_lon0,evaluation,92
lat4_lon0,training,346
lat4_lon0,early_validation,54
lat4_lon0,calibration,54
lat4_lon1,evaluation,79
lat4_lon1,training,358
lat4_lon1,early_validation,54
lat4_lon1,calibration,57
lat3_lon1,evaluation,76
lat3_lon1,training,361
lat3_lon1,early_validation,56
lat3_lon1,calibration,55
lat4_lon4,evaluation,69
lat4_lon4,training,363
lat4_lon4,early_validation,57
lat4_lon4,calibration,56
lat4_lon2,evaluation,47
lat4_lon2,training,377
lat4_lon2,early_validation,60
lat4_lon2,calibration,58
lat3_lon4,evaluation,27
lat3_lon4,training,392
lat3_lon4,early_validation,62
lat3_lon4,calibration,60
lat4_lon5,evaluation,19
lat4_lon5,training,394
lat4_lon5,early_validation,62
lat4_lon5,calibration,62
lat5_lon0,evaluation,19
lat5_lon0,training,400
lat5_lon0,early_validation,63
lat5_lon0,calibration,61
lat3_lon2,evaluation,18
lat3_lon2,training,398
lat3_lon2,early_validation,63
lat3_lon2,calibration,60
lat2_lon2,evaluation,17
lat2_lon2,training,398
lat2_lon2,early_validation,61
lat2_lon2,calibration,63
lat2_lon5,evaluation,17
lat2_lon5,training,397
lat2_lon5,early_validation,63
lat2_lon5,calibration,61
lat3_lon0,evaluation,14
lat3_lon0,training,401
lat3_lon0,early_validation,61
lat3_lon0,calibration,62
lat4_lon3,evaluation,14
lat4_lon3,training,401
lat4_lon3,early_validation,62
lat4_lon3,calibration,61
lat5_lon1,evaluation,13
lat5_lon1,training,401
lat5_lon1,early_validation,64
lat5_lon1,calibration,59
lat5_lon2,evaluation,11
lat5_lon2,training,403
lat5_lon2,early_validation,62
lat5_lon2,calibration,63
lat2_lon1,evaluation,10
lat2_lon1,training,400
lat2_lon1,early_validation,64
lat2_lon1,calibration,62
lat5_lon3,evaluation,9
lat5_lon3,training,403
lat5_lon3,early_validation,64
lat5_lon3,calibration,62
lat2_lon0,evaluation,8
lat2_lon0,training,404
lat2_lon0,early_validation,64
lat2_lon0,calibration,62
