block,role,station_id
lat1_lon2,evaluation,ASM00094637
lat1_lon2,evaluation,ASM00094659
lat1_lon2,evaluation,ASM00094672
lat1_lon2,evaluation,ASM00094711
lat1_lon2,evaluation,ASM00094866
lat1_lon2,evaluation,ASM00094910
lat1_lon2,evaluation,ASM00094995
lat1_lon2,evaluation,ASM00094998
lat1_lon2,evaluation,ATM00094005
lat1_lon2,evaluation,NZM00093112
lat1_lon2,evaluation,NZM00093417
lat1_lon2,evaluation,NZM00093844
lat1_lon2,training,AGM00060680
lat1_lon2,training,AOM00066160
lat1_lon2,training,AQM00091765
lat1_lon2,training,ARM00087155
lat1_lon2,training,ARM00087344
lat1_lon2,training,ARM00087623
lat1_lon2,training,ARM00087715
lat1_lon2,training,ASM00094170
lat1_lon2,training,ASM00094203
lat1_lon2,training,ASM00094302
lat1_lon2,training,ASM00094312
lat1_lon2,training,ASM00094403
lat1_lon2,training,ASM00094430
lat1_lon2,training,ASM00094461
lat1_lon2,training,ASM00094510
lat1_lon2,training,ASM00094578
lat1_lon2,training,ASM00094610
lat1_lon2,training,ASM00094802
lat1_lon2,training,ATM00095282
lat1_lon2,training,AYM00089062
lat1_lon2,training,AYM00089564
lat1_lon2,training,AYM00089571
lat1_lon2,training,AYM00089611
lat1_lon2,training,AYM00089664
lat1_lon2,training,BDM00078016
lat1_lon2,training,BEM00006458
lat1_lon2,training,BGM00041923
lat1_lon2,training,BHM00078583
lat1_lon2,training,BRM00082026
lat1_lon2,training,BRM00082099
lat1_lon2,training,BRM00082193
lat1_lon2,training,BRM00082244
lat1_lon2,training,BRM00082332
lat1_lon2,training,BRM00082532
lat1_lon2,training,BRM00082705
lat1_lon2,training,BRM00082965
lat1_lon2,training,BRM00083525
lat1_lon2,training,BRM00083566
lat1_lon2,training,BRM00083612
lat1_lon2,training,BRM00083649
lat1_lon2,training,BRM00083840
lat1_lon2,training,BRM00083937
lat1_lon2,training,CAM00071109
lat1_lon2,training,CAM00071603
lat1_lon2,training,CAM00071722
lat1_lon2,training,CAM00071802
lat1_lon2,training,CAM00071816
lat1_lon2,training,CAM00071867
lat1_lon2,training,CAM00071906
lat1_lon2,training,CAM00071907
lat1_lon2,training,CAM00071908
lat1_lon2,training,CAM00071909
lat1_lon2,training,CAM00071913
lat1_lon2,training,CAM00071917
lat1_lon2,training,CAM00071925
lat1_lon2,training,CAM00071934
lat1_lon2,training,CAM00071957
lat1_lon2,training,CAM00073033
lat1_lon2,training,CAM00073110
lat1_lon2,training,CFM00064400
lat1_lon2,training,CHM00050527
lat1_lon2,training,CHM00050557
lat1_lon2,training,CHM00050774
lat1_lon2,training,CHM00050953
lat1_lon2,training,CHM00051076
lat1_lon2,training,CHM00051243
lat1_lon2,training,CHM00051431
lat1_lon2,training,CHM00051463
lat1_lon2,training,CHM00051644
lat1_lon2,training,CHM00051656
lat1_lon2,training,CHM00051709
lat1_lon2,training,CHM00051777
lat1_lon2,training,CHM00051839
lat1_lon2,training,CHM00052533
lat1_lon2,training,CHM00052681
lat1_lon2,training,CHM00052866
lat1_lon2,training,CHM00052983
lat1_lon2,training,CHM00053463
lat1_lon2,training,CHM00053543
lat1_lon2,training,CHM00053614
lat1_lon2,training,CHM00053772
lat1_lon2,training,CHM00053845
lat1_lon2,training,CHM00053915
lat1_lon2,training,CHM00054102
lat1_lon2,training,CHM00054135
lat1_lon2,training,CHM00054218
lat1_lon2,training,CHM00054292
lat1_lon2,training,CHM00054340
lat1_lon2,training,CHM00054374
lat1_lon2,training,CHM00054662
lat1_lon2,training,CHM00054727
lat1_lon2,training,CHM00056080
lat1_lon2,training,CHM00056571
lat1_lon2,training,CHM00056739
lat1_lon2,training,CHM00056964
lat1_lon2,training,CHM00056985
lat1_lon2,training,CHM00057083
lat1_lon2,training,CHM00057127
lat1_lon2,training,CHM00057461
lat1_lon2,training,CHM00057494
lat1_lon2,training,CHM00057516
lat1_lon2,training,CHM00057541
lat1_lon2,training,CHM00057972
lat1_lon2,training,CHM00058203
lat1_lon2,training,CHM00058238
lat1_lon2,training,CHM00058457
lat1_lon2,training,CHM00058606
lat1_lon2,training,CHM00058633
lat1_lon2,training,CHM00058725
lat1_lon2,training,CHM00059265
lat1_lon2,training,CHM00059280
lat1_lon2,training,CHM00059293
lat1_lon2,training,CIM00085442
lat1_lon2,training,CIM00085586
lat1_lon2,training,CIM00085799
lat1_lon2,training,CKM00096996
lat1_lon2,training,COM00080001
lat1_lon2,training,COM00080222
lat1_lon2,training,COM00080398
lat1_lon2,training,EIM00003953
lat1_lon2,training,ENM00026038
lat1_lon2,training,EZM00011520
lat1_lon2,training,EZM00011747
lat1_lon2,training,FGM00081405
lat1_lon2,training,FJM00091680
lat1_lon2,training,FKM00088889
lat1_lon2,training,FMM00091334
lat1_lon2,training,FMM00091348
lat1_lon2,training,FOM00006011
lat1_lon2,training,FPM00091938
lat1_lon2,training,FRM00007110
lat1_lon2,training,FRM00007145
lat1_lon2,training,FRM00007510
lat1_lon2,training,FRM00007645
lat1_lon2,training,FRM00007761
lat1_lon2,training,GLM00004270
