dataset,group,model,cluster,n,error,sse
COSMIC2,0.5-2,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_015.tar.gz,13574,51899.084809180174,1445394.8609212316
COSMIC2,0.5-2,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_046.tar.gz,12422,50538.62157133995,1428071.7670250065
COSMIC2,0.5-2,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_075.tar.gz,13543,56325.000217223904,1583182.715714646
COSMIC2,0.5-2,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_106.tar.gz,15745,61778.35274807007,1652893.6140734488
COSMIC2,0.5-2,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_136.tar.gz,15486,54657.73219224692,1633351.5479232287
COSMIC2,0.5-2,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_167.tar.gz,16032,62273.899956101646,1671206.7911923109
COSMIC2,0.5-2,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_197.tar.gz,11475,41003.16733726271,1208172.6799510291
COSMIC2,0.5-2,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_228.tar.gz,14448,53491.25239217963,1566753.172606409
COSMIC2,0.5-2,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_259.tar.gz,16828,60083.443652355076,1788306.3353893505
COSMIC2,0.5-2,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_289.tar.gz,18161,69834.22994725352,1921157.461244259
COSMIC2,0.5-2,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_320.tar.gz,17217,62894.75217053555,1751938.14401373
COSMIC2,0.5-2,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_350.tar.gz,19471,61061.20276566337,1821881.9063205915
COSMIC2,0.5-2,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_015.tar.gz,19288,66434.71030822514,1849802.8560325068
COSMIC2,0.5-2,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_046.tar.gz,18139,61774.021086964705,1776581.2675728463
COSMIC2,0.5-2,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_074.tar.gz,14597,51512.027880428475,1473234.6604000675
COSMIC2,0.5-2,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_105.tar.gz,11013,39864.816262077475,1021866.1091850526
COSMIC2,0.5-2,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_135.tar.gz,20413,65232.99863874135,1813574.433384779
COSMIC2,0.5-2,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_166.tar.gz,16506,54212.67182725635,1531184.5531470769
COSMIC2,0.5-2,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_196.tar.gz,11168,32549.116774925264,1012111.5322029578
COSMIC2,0.5-2,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_227.tar.gz,13552,42487.17491555896,1177775.934787096
COSMIC2,0.5-2,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_258.tar.gz,17406,51233.43853743686,1577212.097072361
COSMIC2,0.5-2,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_288.tar.gz,14709,45224.19576311935,1332056.741607
COSMIC2,0.5-2,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_319.tar.gz,12665,46661.174963111735,1219263.720156362
COSMIC2,0.5-2,ERA5,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_349.tar.gz,15875,57388.488125950644,1526138.7361139683
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_015.tar.gz,13574,70981.27875052221,1667734.013356984
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_046.tar.gz,12422,67913.19559588464,1645315.8606908456
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_075.tar.gz,13543,74544.75321794377,1824659.1040519818
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_106.tar.gz,15745,85586.5430378744,1952187.6694797985
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_136.tar.gz,15486,80148.16282421399,1929949.7305440584
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_167.tar.gz,16032,93626.96347039302,2087376.3316363744
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_197.tar.gz,11475,64117.023979620135,1468857.9387432751
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_228.tar.gz,14448,80299.71143977084,1878834.4721509174
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_259.tar.gz,16828,87781.89457192415,2094430.0629268326
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_289.tar.gz,18161,97747.3458131499,2231885.4041751497
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_320.tar.gz,17217,88187.80428452852,2035630.7655848823
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_350.tar.gz,19471,89555.31978141742,2096395.4172299893
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_015.tar.gz,19288,93846.51106060632,2143349.443055365
