dataset,group,model,cluster,n,covered,width
COSMIC2,0.5-2,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_015.tar.gz,13574,8445,212959.863445563
COSMIC2,0.5-2,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_046.tar.gz,12422,7589,193974.7040623679
COSMIC2,0.5-2,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_075.tar.gz,13543,8283,223871.2197858892
COSMIC2,0.5-2,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_106.tar.gz,15745,9605,253418.98606179075
COSMIC2,0.5-2,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_136.tar.gz,15486,9838,251281.7829332432
COSMIC2,0.5-2,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_167.tar.gz,16032,9779,262324.48918797704
COSMIC2,0.5-2,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_197.tar.gz,11475,7280,182607.55637881995
COSMIC2,0.5-2,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_228.tar.gz,14448,8917,227774.58485331075
COSMIC2,0.5-2,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_259.tar.gz,16828,10517,263026.4580610825
COSMIC2,0.5-2,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_289.tar.gz,18161,11288,283854.81151166756
COSMIC2,0.5-2,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_320.tar.gz,17217,10610,267510.55927883147
COSMIC2,0.5-2,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_350.tar.gz,19471,12219,295056.4744329438
COSMIC2,0.5-2,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_015.tar.gz,19288,12090,304449.98553278786
COSMIC2,0.5-2,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_046.tar.gz,18139,11330,291309.0265274189
COSMIC2,0.5-2,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_074.tar.gz,14597,9289,240218.70085181177
COSMIC2,0.5-2,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_105.tar.gz,11013,7048,178771.46077629694
COSMIC2,0.5-2,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_135.tar.gz,20413,13264,333578.66673950583
COSMIC2,0.5-2,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_166.tar.gz,16506,10367,266734.34832176194
COSMIC2,0.5-2,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_196.tar.gz,11168,7274,180535.08203189113
COSMIC2,0.5-2,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_227.tar.gz,13552,8639,214804.67290797253
COSMIC2,0.5-2,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_258.tar.gz,17406,11160,275426.69411402545
COSMIC2,0.5-2,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_288.tar.gz,14709,9527,231089.33438544508
COSMIC2,0.5-2,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_319.tar.gz,12665,7789,192687.2415380678
COSMIC2,0.5-2,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_349.tar.gz,15875,9877,242099.6267489211
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_015.tar.gz,13574,8622,220205.78255788094
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_046.tar.gz,12422,7746,200523.11838406147
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_075.tar.gz,13543,8447,231386.03627138963
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_106.tar.gz,15745,9821,261959.08621854315
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_136.tar.gz,15486,10043,259771.71880133133
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_167.tar.gz,16032,10011,271089.3054783664
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_197.tar.gz,11475,7422,188724.31710330004
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_228.tar.gz,14448,9115,235433.39041198426
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_259.tar.gz,16828,10745,271835.5914953191
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_289.tar.gz,18161,11516,293449.2645196912
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_320.tar.gz,17217,10825,276478.73241342534
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_350.tar.gz,19471,12521,305138.26876250585
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_015.tar.gz,19288,12351,314753.8459533639
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_046.tar.gz,18139,11596,301079.5227352489
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_074.tar.gz,14597,9471,248270.6239730123
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_105.tar.gz,11013,7194,184763.81173622565
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_135.tar.gz,20413,13530,344748.6170615564
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_166.tar.gz,16506,10565,275695.7685774228
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_196.tar.gz,11168,7419,186596.55097999325
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_227.tar.gz,13552,8828,222107.31313710922
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_258.tar.gz,17406,11406,284719.9758821481
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_288.tar.gz,14709,9735,238874.37178210064
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_319.tar.gz,12665,7963,199266.78682819594
COSMIC2,0.5-2,reference,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_349.tar.gz,15875,10091,250248.07455921455
COSMIC2,2-5,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_015.tar.gz,26210,18508,259528.09257138355
COSMIC2,2-5,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_046.tar.gz,24178,16306,238449.82034530767
COSMIC2,2-5,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_075.tar.gz,26406,18182,275300.7086424695
COSMIC2,2-5,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_106.tar.gz,30002,20611,305975.455569882
COSMIC2,2-5,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_136.tar.gz,29483,20366,306032.50575402466
COSMIC2,2-5,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_167.tar.gz,31148,22078,311296.4821866889
COSMIC2,2-5,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_197.tar.gz,22009,15653,212017.54022488312
COSMIC2,2-5,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_228.tar.gz,27603,19020,260652.8121462284
COSMIC2,2-5,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_259.tar.gz,32524,20972,313621.4583630535
COSMIC2,2-5,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_289.tar.gz,35012,23884,347871.54336168384
COSMIC2,2-5,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_320.tar.gz,33121,22624,324099.22524772526
COSMIC2,2-5,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2024\atmPrf_nrt_2024_350.tar.gz,37283,25960,367050.8832252752
COSMIC2,2-5,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_015.tar.gz,37216,25901,373846.35508968536
COSMIC2,2-5,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_046.tar.gz,34905,24660,358981.36759262934
COSMIC2,2-5,diagonal,data\revision2\raw\cosmic2\nrt\atmPrf\2025\atmPrf_nrt_2025_074.tar.gz,28004,19952,294623.9402905632
