dataset,group,metric,estimate,lower,upper
COSMIC2,0.5-2,covered,0.013412381367094633,0.013058378633370586,0.013781983816561073
COSMIC2,0.5-2,width,0.5348550038919886,0.5303893941514736,0.5392126733810144
COSMIC2,2-5,covered,0.012027597859757815,0.011767767808739157,0.012300109632627908
COSMIC2,2-5,width,0.2593819350179686,0.25614872363475155,0.26275163905655696
COSMIC2,5-9,covered,0.012851600387972843,0.0126259033713997,0.013091918995461582
COSMIC2,5-9,width,0.07850717221375382,0.07743892704550831,0.07964674878548951
COSMIC2,all,covered,0.01266681956371528,0.012515724313548193,0.012830952308604048
COSMIC2,all,width,0.2238330993608085,0.22161216410691262,0.22619580311374468
RAPSODI_native,2to5km,covered,0.011534947464595706,0.00992827622455872,0.013290545748242153
RAPSODI_native,2to5km,width,0.39671260455189655,0.388979976039346,0.4051025612218482
RAPSODI_native,5kmplus,covered,0.011914624410670442,0.009794031372667366,0.01411995793909844
RAPSODI_native,5kmplus,width,0.11398512118869474,0.11046888543741572,0.11753242947948729
RAPSODI_native,all,covered,0.011776916091274703,0.010587599738818709,0.012941295691903625
RAPSODI_native,all,width,0.35343584827614005,0.34581996020125516,0.36236428129282194
RAPSODI_native,below2km,covered,0.011827693599748048,0.009230230252907059,0.014939973780971007
RAPSODI_native,below2km,width,0.8434186292138102,0.8272593728937199,0.8603781719496661
