dataset,group,model,n,clusters,coverage,width,lower,upper
COSMIC2,0.5-2,diagonal,369733,24,0.6275447417460708,15.874607704666321,0.6227206146673836,0.6325318315776026
COSMIC2,0.5-2,reference,369733,24,0.6409571231131654,16.409462708558312,0.636066677064443,0.6459164050370525
COSMIC2,2-5,diagonal,710200,24,0.6961348915798367,9.985428388240281,0.6893779710171327,0.7021050239346517
COSMIC2,2-5,reference,710200,24,0.7081624894395945,10.244810323258248,0.7014651891284647,0.7140808887423769
COSMIC2,5-9,diagonal,965016,24,0.6310817644474288,3.433827255085091,0.6239375411216401,0.6372649328901313
COSMIC2,5-9,reference,965016,24,0.6439333648354016,3.512334427298844,0.636675988741606,0.6502179012263785
COSMIC2,all,diagonal,2044949,24,0.6530348678622303,7.958494717565491,0.6473705237292927,0.6579781900154261
COSMIC2,all,reference,2044949,24,0.6657016874259456,8.1823278169263,0.660008150791891,0.6706448553334353
RAPSODI_native,2to5km,diagonal,43780,33,0.7225445408862494,15.180262129808998,0.6810840479634656,0.7634369614470413
RAPSODI_native,2to5km,reference,43780,33,0.7340794883508451,15.57697473436089,0.6924225336482733,0.7749579195234161
RAPSODI_native,5kmplus,diagonal,66389,33,0.5548810796969378,4.524510827144701,0.49385585715534785,0.6127064624039597
RAPSODI_native,5kmplus,reference,66389,33,0.5667957041076082,4.6384959483333965,0.5051723637374897,0.6249344897715654
RAPSODI_native,all,diagonal,138746,34,0.6560549493318726,12.013144882738448,0.6204128955125884,0.6878173558470543
RAPSODI_native,all,reference,138746,34,0.6678318654231473,12.366580731014587,0.6321338748922342,0.6995670671084746
RAPSODI_native,below2km,diagonal,28577,34,0.7892360989607027,24.558427216085708,0.7538331367422584,0.8238661572102982
RAPSODI_native,below2km,reference,28577,34,0.8010637925604507,25.401845845299516,0.7659705830553868,0.8351130572206129
