dataset,group,model,n,rmse,mse,bias,bias_squared,centered_variance
COSMIC2,0.5-2,ERA5,369733,9.974247420819445,99.48561161172337,3.5171747581179087,12.37051827914177,87.11509333258161
COSMIC2,0.5-2,reference,369733,10.835634133550256,117.41096707615942,5.133684314532585,26.354714641277894,91.05625243488153
COSMIC2,2-5,ERA5,710200,5.0402200201405325,25.40381785142543,0.013515730722463652,0.0001826749769621478,25.403635176448468
COSMIC2,2-5,reference,710200,5.0885528716985995,25.893370328072066,0.43015209504589597,0.18503082487237352,25.708339503199692
COSMIC2,5-9,ERA5,965016,2.059147590544762,4.240088799646299,0.09234140895683847,0.008526935808134089,4.231561863838165
COSMIC2,5-9,reference,965016,2.094071119609932,4.385133853984395,0.2212422282961364,0.04894812358143974,4.336185730402955
COSMIC2,all,ERA5,2044949,5.367571193645102,28.8108205188487,0.6841859547148584,0.4681104206290823,28.34271009821962
COSMIC2,all,reference,2044949,5.68245065037913,32.2902453939942,1.1819799959549582,1.397076710837683,30.893168683156514
RAPSODI_native,2to5km,ERA5,43780,7.46369513968702,55.70674513818764,-3.881773380368019,15.068164576533759,40.63858056165388
RAPSODI_native,2to5km,reference,43780,6.927913118306303,47.99598017480056,-2.6437103273978866,6.989204295190241,41.006775879610316
RAPSODI_native,5kmplus,ERA5,66389,3.3478983220294127,11.208423174647358,0.08671668843980335,0.007519784053965924,11.200903390593393
RAPSODI_native,5kmplus,reference,66389,3.3505423021151173,11.22613371826287,0.4887528693405621,0.23887936728863257,10.987254350974238
RAPSODI_native,all,ERA5,138746,7.630546111911415,58.225233966006414,-2.622718387277001,6.8786517389608735,51.34658222704554
RAPSODI_native,all,reference,138746,6.962537303530223,48.476925703049915,-1.3793311484083464,1.9025544169694877,46.57437128608043
RAPSODI_native,below2km,ERA5,28577,13.088591575670794,171.31122943472047,-6.988301116193197,48.83635249058708,122.4748769441334
RAPSODI_native,below2km,reference,28577,11.651324330276488,135.75335864929284,-3.7821624252453194,14.304752610937557,121.44860603835528
RAPSODI_standard,1000,ERA5,153,7.108267501063733,50.52746686667886,-3.3318966976542526,11.101535603839313,39.42593126283954
RAPSODI_standard,1000,reference,153,6.712894972553011,45.06295891252749,2.4582625084557934,6.04305456047937,39.01990435204812
RAPSODI_standard,300,ERA5,140,0.5024689126905842,0.25247500822045793,-0.2513018125282925,0.06315260098000505,0.18932240724045288
RAPSODI_standard,300,reference,140,0.44510420303731846,0.19811775156148642,-0.09781713765347382,0.009568192418718644,0.18854955914276778
RAPSODI_standard,500,ERA5,144,3.6925060515212955,13.634600940521388,-1.6981536963756665,2.8837259765143393,10.750874964007048
RAPSODI_standard,500,reference,144,3.4670971436239597,12.02076260332542,-1.1669955661666156,1.3618786514525396,10.65888395187288
RAPSODI_standard,700,ERA5,150,7.07153095273593,50.006550015502334,-4.273126865830331,18.25961321148095,31.746936804021384
RAPSODI_standard,700,reference,150,6.346960700768818,40.28391013710381,-3.056697903213468,9.34340207150961,30.9405080655942
RAPSODI_standard,850,ERA5,153,14.421184842926815,207.9705722738621,-8.124508607391455,66.00764011157784,141.96293216228426
RAPSODI_standard,850,reference,153,13.101808570258529,171.65738781169983,-5.829340061777887,33.98120555584862,137.67618225585122
RAPSODI_standard,925,ERA5,153,17.337276222049223,300.58114679963336,-10.72320973505121,114.98722702189704,185.59391977773632
RAPSODI_standard,925,reference,153,15.451441306845933,238.74703845890474,-7.577338290163208,57.416055563573494,181.33098289533126
RAPSODI_standard,all,ERA5,893,10.316319983066153,106.42645799301003,-4.831093524122549,23.33946463881883,83.08699335419121
RAPSODI_standard,all,reference,893,9.315174603176372,86.77247788766209,-2.5927817137007274,6.72251701490088,80.0499608727612
