subset,model,pressure,n,dry_mse,wet_mse,cross,mse,rmse,bias,bias_squared,centered_variance,dry_bias_squared,wet_bias_squared,dry_variance,wet_variance,centered_cross,station_delta,lower,upper,stations,interval_status
all,ERA5,all,214251,0.411772325123607,18.74810856169512,0.6847542959690217,19.844635182787748,4.454731774505368,-0.2113056433255373,0.0446500749012191,19.799985107886528,0.0035205677567038,0.0732460181511549,0.4082517573669032,18.674862543543963,0.7168708069756613,9.448706592554524e-17,-3.0708296425802203e-17,2.220446049250313e-16,94,reported
all,ERA5,1000,13594,1.2473829555089593,54.75432949882617,0.5192052670814481,56.52091772141658,7.518039486556091,0.4607719948607245,0.2123108312479316,56.30860689016865,2.832455008266324e-05,0.2074346237009538,1.2473546309588768,54.54689487512521,0.5143573840845529,1.0138640451293885e-15,-2.93266459334947e-16,2.6561562174050918e-15,53,reported
all,ERA5,925,32894,0.773445943896017,41.78428001550679,1.8130712302643892,44.37079718966719,6.661140832445085,-0.4499797172170232,0.2024817459067121,44.16831544376048,0.0178537377143264,0.3405861548600356,0.7555922061816904,41.44369386064676,1.9690293769320395,-1.9927079929169483e-17,-7.85767462492715e-16,5.209508038625735e-16,78,reported
all,ERA5,850,40413,0.5161132827188104,29.49337211436757,1.2139275134097756,31.22341291049616,5.587791416158638,-0.6783138117155547,0.460109627164085,30.76330328333207,0.0062884995086918,0.5739787785459783,0.5098247832101186,28.91939333582159,1.334085164300361,2.6196273614750885e-16,1.7464182409833926e-17,5.115134283680277e-16,89,reported
all,ERA5,700,42894,0.3099923644870833,13.789393465793538,0.6254282751372768,14.7248141054179,3.8372925488445495,-0.1830956044689813,0.0335240003758616,14.691290105042034,0.0034783952681817,0.0585995921545092,0.3065139692189016,13.730793873639028,0.6539822621841062,-5.433006290718851e-17,-1.748010719622587e-16,6.614094614788165e-17,94,reported
all,ERA5,500,42591,0.173498378932292,2.60522211149624,0.0969712450307987,2.875691735459331,1.6957864651716414,-0.0393674397595982,0.0015497953132255,2.874141940146105,0.001452536154091,0.0060030871880649,0.172045842778201,2.599219024308175,0.1028770730597291,-4.251917966649536e-17,-1.5472257045308032e-16,6.732203447195099e-17,94,reported
all,ERA5,300,41865,0.1022335989591323,0.0874630331827661,-8.656666995162411e-05,0.1896100654719469,0.4354423790491079,0.0049814998116478,2.481534037344789e-05,0.1895852501315734,0.0004489831018904,0.0002626902378251,0.1017846158572419,0.087200342944941,0.0006002913293905,-1.2991971564762469e-17,-7.47038364973842e-17,4.753880504378995e-17,94,reported
all,reference,all,214251,0.4710277628972116,18.80488317092932,0.50486272538025,19.780773659206783,4.447558168164503,0.0514576921638892,0.0026478940828335,19.77812576512395,0.0002614312116678,0.0012453034695924,0.4707663316855436,18.803637867459727,0.5037215659786766,-0.0344827619853573,-0.090815164320425,0.0264733486025445,94,reported
all,reference,1000,13594,1.3078179741960676,57.839480247348746,-1.691209329706221,57.45608889183858,7.579979478325689,0.9578086582374896,0.9173974257947004,56.538691466043886,0.0022125141691007,1.009715540306228,1.3056054600269669,56.829764707042514,-1.5966787010255927,-0.1168358656674209,-0.3909802444165463,0.1403087912503892,53,reported
all,reference,925,32894,0.7961624566951357,42.79483333447081,1.4636222840996262,45.05461807526557,6.712273688942188,-0.0987042746422954,0.0097425338326616,45.04487554143292,0.0008195679180163,0.0049106707214825,0.7953428887771194,42.78992266374933,1.459609988906463,0.0027588881834912,-0.1009242090437179,0.1296714788843176,78,reported
all,reference,850,40413,0.5349389145586979,28.2399298302566,1.2715007260177624,30.046369470833053,5.481456874849337,-0.1648688310037922,0.027181731436557,30.019187739396497,0.000685545168053,0.0192337826084004,0.5342533693906449,28.2206960476482,1.2642383223576588,-0.0837927859931862,-0.1657283572393137,-0.0032669281050687,89,reported
all,reference,700,42894,0.3471121066161731,13.503985556768724,0.6542495040332291,14.505347167418126,3.8085886056934695,0.0403009538827329,0.0016241668838581,14.503723000534269,0.0008057409573966,0.0001419762164269,0.3463063656587764,13.5038435805523,0.6535730543231947,-0.02188014362039,-0.045306705670996,0.0008642845832514,94,reported
all,reference,500,42591,0.3536346692155782,2.5934386934163483,0.0888101078813328,3.0358834705132587,1.742378681720268,0.0967987217500265,0.009369992532439,3.02651347798082,0.0065043035368335,0.0002608050350615,0.3471303656787446,2.5931778883812866,0.0862052239207889,0.0535526518577558,0.0086400066270805,0.111507496144283,94,reported
all,reference,300,41865,0.1285454815460144,0.0966080013076163,-0.0052023499590063,0.2199511328946244,0.4689894805799214,0.049268126293171,0.0024273482684398,0.2175237846261845,0.0012011389006318,0.0002134718363948,0.1273443426453825,0.0963945294712215,-0.0062150874904194,0.0318394055973815,0.0129771181724415,0.0534362985197027,94,reported
all,hgb_components_utc,all,214251,0.4503930515535894,18.954056329981995,0.5577319175011872,19.96218129903678,4.467905694957849,0.0367341860793335,0.0013494004269111,19.96083189860986,0.0001896144088711,0.0005273513259545,0.4502034371447182,18.953528978656045,0.5570994828091017,-0.0128596759270503,-0.0818658294644561,0.0720475256071149,94,reported
all,hgb_components_utc,1000,13594,1.2626818325726317,58.32228810093842,-1.1535879031908212,58.43138203032024,7.644042257230152,1.0189895488838612,1.038339700734535,57.39304232958571,0.003765430742056,1.1671618582823595,1.2589164018305756,57.15512624265607,-1.0210003149009408,-0.031686861374709,-0.3490601574148364,0.3243000929567814,53,reported
all,hgb_components_utc,925,32894,0.7788380343607441,43.24010698426204,1.5781561177815424,45.59710113640432,6.752562560717547,-0.140812165536003,0.0198280659629387,45.577273070441386,0.0005034346507868,0.0140125970810451,0.7783345997099574,43.226094387180986,1.5728440835504356,0.0450002441515666,-0.0775868701970115,0.1933894068612807,78,reported
all,hgb_components_utc,850,40413,0.5199171911810362,28.47412195726081,1.276769533441093,30.270808681882933,5.501891373144597,-0.2050791483640431,0.0420574570937212,30.228751224789217,0.0004724535961993,0.033614710893858,0.5194447375848368,28.440507246366945,1.268799240837429,-0.0650408368332819,-0.1665834191996868,0.0500205492581516,89,reported
all,hgb_components_utc,700,42894,0.3366188223515508,13.536355160086153,0.651140273370409,14.524114255808112,3.811051594482567,0.0180016637079539,0.0003240598962542,14.523790195911856,0.0007855157620114,0.0001005084526871,0.3358333065895393,13.536254651633469,0.6517022376888535,-0.0176312792265043,-0.036471698859647,0.0011672586912857,94,reported
all,hgb_components_utc,500,42591,0.3116541994151931,2.594442676098988,0.0914054947075683,2.997502370221749,1.7313296538272973,0.081179649633558,0.0065901355146272,2.9909122347071224,0.0047284908144199,0.0001541477927791,0.3069257086007732,2.5942885283062083,0.0896979978001402,0.0401135384257378,0.0048910525403847,0.0908986510201934,94,reported
all,hgb_components_utc,300,41865,0.1191726103837161,0.0931384750328972,-0.0037387266637629,0.2085723587528504,0.4566972287553871,0.0646899641586431,0.0041847914628465,0.2043875672900039,0.0009202026489726,0.0011802744074277,0.1182524077347434,0.0919582006254694,-0.005823041070209,0.0199656773135189,0.0065826847292598,0.0356686008160576,94,reported
all,hgb_components_no_utc,all,214251,0.4549034102307228,18.874399345753453,0.5679993438518882,19.897302099836065,4.460639203055552,0.0337177017831187,0.0011368834135353,19.89616521642253,0.0002151822798949,0.0003628495089705,0.454688227950828,18.87403649624448,0.5674404922272184,-0.0148734305610296,-0.0826676484031763,0.0678526433557572,94,reported
all,hgb_components_no_utc,1000,13594,1.2735583589599566,57.17920374383074,-1.0077219389134224,57.44504016387727,7.5792506333988765,0.9148766247688326,0.8369992385484113,56.60804092532887,0.0043591139237879,0.9621652237164507,1.2691992450361684,56.217038520114286,-0.8781968398215952,-0.0393671073732037,-0.333934220711384,0.2957238845191962,53,reported
all,hgb_components_no_utc,925,32894,0.7776393350773918,43.11398297691526,1.5578638241550096,45.44948613614766,6.741623405096703,-0.1198573162377736,0.0143657762557216,45.43512035989193,0.0006568471345372,0.008878970089828,0.7769824879428546,43.10510400682544,1.5530338651236533,0.0424136895905737,-0.0775672504370705,0.1874854359017352,78,reported
all,hgb_components_no_utc,850,40413,0.5212741475306006,28.511452017562508,1.2877272297242144,30.32045339481732,5.506401129123932,-0.1958077584365411,0.0383406782639428,30.282112716553375,0.0003370173833221,0.0314884049831426,0.5209371301472785,28.47996361257936,1.2812119738267362,-0.0599963549322014,-0.167480508309607,0.0603417047824979,89,reported
all,hgb_components_no_utc,700,42894,0.3372407221575869,13.56479581534129,0.6561497501003055,14.55818628759918,3.815519137365082,0.0146592938311225,0.0002148948956271,14.557971392703552,0.0007832314597209,0.0001776083658106,0.336457490697866,13.564618206975476,0.65689569503021,-0.0143888103923644,-0.0346178379551216,0.0062155670957779,94,reported
all,hgb_components_no_utc,500,42591,0.3318400932356559,2.5945222887805293,0.0948938371713146,3.0212562191875,1.7381761185758766,0.0840286610220299,0.0070608158731552,3.014195403314344,0.0053940527363203,0.000112030494804,0.3264460404993355,2.594410258285725,0.0933391045292838,0.0418867460141243,0.0030743074167925,0.097210112837999,94,reported
all,hgb_components_no_utc,300,41865,0.1171822012235451,0.0904937680707859,-0.0018727937218575,0.2058031755724736,0.4536553488855539,0.0581708715745199,0.0033838502997392,0.2024193252727343,0.0009595434995868,0.0007395338915661,0.1162226577239583,0.0897542341792198,-0.0035575666304437,0.0155753099656017,0.0043662149638817,0.0295802337211266,94,reported
pressure_temperature_checked,ERA5,all,850,1.3876633925869517,28.972153805281163,-2.130605334297852,28.22921186357026,5.3131169630989925,-0.0404027871604296,0.0016323852103309,28.227579478359928,0.0001915562612501,0.0007055612002761,1.3874718363257017,28.97144824408088,-2.1313406020466568,1.6196194712178754e-15,-2.7167810484945005e-15,6.8180755159333145e-15,17,reported
pressure_temperature_checked,ERA5,1000,849,1.3872502399379167,29.00296584706998,-2.13832400834216,28.25189207866573,5.315250895175667,-0.0369219718293818,0.0013632320037696,28.25052884666196,0.0001513807650294,0.0006060598454242,1.3870988591728874,29.002359787224545,-2.1389297997354766,1.7208456881689926e-15,-2.8310687127941488e-15,7.13318293321663e-15,16,reported
pressure_temperature_checked,ERA5,850,1,1.738429991617549,2.812730326578872,4.422548929319803,8.973709247516224,2.9956150032199105,-2.9956150032199105,8.973709247516224,0.0,1.738429991617549,2.812730326578872,0.0,0.0,0.0,0.0,,,1,descriptive_only_fewer_than_10_stations
pressure_temperature_checked,reference,all,850,1.4001790239482057,27.57803247394284,-1.8749415325493124,27.10326996534173,5.206080095939913,-0.7304906182620983,0.5336165433689426,26.569653421972788,0.0135011274332102,0.7168754388423015,1.3866778965149955,26.861157035100536,-1.678181509642743,-0.1394270312988622,-0.6292123705247754,0.1782267881016757,17,reported
pressure_temperature_checked,reference,1000,849,1.3989873271348472,27.60780205546988,-1.8827027643055252,27.12408661829921,5.208078975812406,-0.7277340472939633,0.5295968435908524,26.59448977470835,0.0139618963897018,0.7155375323769263,1.3850254307451453,26.89226452309296,-1.6828001791297498,-0.1528414936918469,-0.6697100239194964,0.1859003480752886,16,reported
pressure_temperature_checked,reference,850,1,2.411929618489597,2.3036577574844705,4.714344228475524,9.429931604449592,3.070819370208804,-3.070819370208804,9.429931604449592,0.0,2.411929618489597,2.3036577574844705,0.0,0.0,0.0,0.0752043669888928,,,1,descriptive_only_fewer_than_10_stations
pressure_temperature_checked,hgb_components_utc,all,850,1.365881138324403,28.24669107956353,-1.8659988975864945,27.74657332030144,5.267501620341605,-0.5400947374624369,0.2917023254346186,27.45487099486682,0.0061774820977447,0.3827794163239916,1.359703656226658,27.86391166323953,-1.7687443245993764,-0.1564638664934627,-0.5554323547598076,0.0837438059884332,17,reported
pressure_temperature_checked,hgb_components_utc,1000,849,1.3648732279394271,28.27791254285748,-1.8728279195719904,27.76995785122492,5.269720851356826,-0.537421742677286,0.288822129502291,27.481135721722616,0.0064714194686398,0.3817594764067748,1.3584018084707878,27.8961530664507,-1.773419153198867,-0.1546086273265293,-0.574845429131431,0.0977451864956375,16,reported
pressure_temperature_checked,hgb_components_utc,850,1,2.2215970551682984,1.739668743002533,3.931840768099727,7.893106566270557,2.8094673100555125,-2.8094673100555125,7.893106566270557,0.0,2.2215970551682984,1.739668743002533,0.0,0.0,0.0,-0.1861476931643979,,,1,descriptive_only_fewer_than_10_stations
pressure_temperature_checked,hgb_components_no_utc,all,850,1.3966975345024932,28.29738858928285,-1.938545394964673,27.75554072882068,5.268352752884025,-0.5796939073231501,0.3360450261875809,27.419495702633096,0.0060385912809969,0.4321777585690672,1.3906589432214964,27.865210830713785,-1.8363740713021897,-0.1940601344679819,-0.5803052725537556,0.0448570545886774,17,reported
pressure_temperature_checked,hgb_components_no_utc,1000,849,1.395718094601068,28.32863161362036,-1.945509767800211,27.77883994042121,5.270563531580017,-0.5770505344155558,0.3329873192692785,27.44585262115194,0.0063294950470377,0.4311349299153915,1.3893885995540298,27.897496683704965,-1.84103266210706,-0.1954577992879099,-0.6031616083442175,0.059880341307431,16,reported
pressure_temperature_checked,hgb_components_no_utc,850,1,2.22824201081291,1.7720609267434573,3.974207142407064,7.97451007996343,2.823917505870777,-2.823917505870777,7.97451007996343,0.0,2.22824201081291,1.7720609267434573,0.0,0.0,0.0,-0.1716974973491334,,,1,descriptive_only_fewer_than_10_stations
source_dewpoint_depression,ERA5,all,214251,0.411772325123607,18.74810856169512,0.6847542959690217,19.844635182787748,4.454731774505368,-0.2113056433255373,0.0446500749012191,19.799985107886528,0.0035205677567038,0.0732460181511549,0.4082517573669032,18.674862543543963,0.7168708069756613,9.448706592554524e-17,-3.0708296425802203e-17,2.220446049250313e-16,94,reported
source_dewpoint_depression,ERA5,1000,13594,1.2473829555089593,54.75432949882617,0.5192052670814481,56.52091772141658,7.518039486556091,0.4607719948607245,0.2123108312479316,56.30860689016865,2.832455008266324e-05,0.2074346237009538,1.2473546309588768,54.54689487512521,0.5143573840845529,1.0138640451293885e-15,-2.93266459334947e-16,2.6561562174050918e-15,53,reported
source_dewpoint_depression,ERA5,925,32894,0.773445943896017,41.78428001550679,1.8130712302643892,44.37079718966719,6.661140832445085,-0.4499797172170232,0.2024817459067121,44.16831544376048,0.0178537377143264,0.3405861548600356,0.7555922061816904,41.44369386064676,1.9690293769320395,-1.9927079929169483e-17,-7.85767462492715e-16,5.209508038625735e-16,78,reported
source_dewpoint_depression,ERA5,850,40413,0.5161132827188104,29.49337211436757,1.2139275134097756,31.22341291049616,5.587791416158638,-0.6783138117155547,0.460109627164085,30.76330328333207,0.0062884995086918,0.5739787785459783,0.5098247832101186,28.91939333582159,1.334085164300361,2.6196273614750885e-16,1.7464182409833926e-17,5.115134283680277e-16,89,reported
source_dewpoint_depression,ERA5,700,42894,0.3099923644870833,13.789393465793538,0.6254282751372768,14.7248141054179,3.8372925488445495,-0.1830956044689813,0.0335240003758616,14.691290105042034,0.0034783952681817,0.0585995921545092,0.3065139692189016,13.730793873639028,0.6539822621841062,-5.433006290718851e-17,-1.748010719622587e-16,6.614094614788165e-17,94,reported
source_dewpoint_depression,ERA5,500,42591,0.173498378932292,2.60522211149624,0.0969712450307987,2.875691735459331,1.6957864651716414,-0.0393674397595982,0.0015497953132255,2.874141940146105,0.001452536154091,0.0060030871880649,0.172045842778201,2.599219024308175,0.1028770730597291,-4.251917966649536e-17,-1.5472257045308032e-16,6.732203447195099e-17,94,reported
source_dewpoint_depression,ERA5,300,41865,0.1022335989591323,0.0874630331827661,-8.656666995162411e-05,0.1896100654719469,0.4354423790491079,0.0049814998116478,2.481534037344789e-05,0.1895852501315734,0.0004489831018904,0.0002626902378251,0.1017846158572419,0.087200342944941,0.0006002913293905,-1.2991971564762469e-17,-7.47038364973842e-17,4.753880504378995e-17,94,reported
source_dewpoint_depression,reference,all,214251,0.4710277628972116,18.80488317092932,0.50486272538025,19.780773659206783,4.447558168164503,0.0514576921638892,0.0026478940828335,19.77812576512395,0.0002614312116678,0.0012453034695924,0.4707663316855436,18.803637867459727,0.5037215659786766,-0.0344827619853573,-0.090815164320425,0.0264733486025445,94,reported
source_dewpoint_depression,reference,1000,13594,1.3078179741960676,57.839480247348746,-1.691209329706221,57.45608889183858,7.579979478325689,0.9578086582374896,0.9173974257947004,56.538691466043886,0.0022125141691007,1.009715540306228,1.3056054600269669,56.829764707042514,-1.5966787010255927,-0.1168358656674209,-0.3909802444165463,0.1403087912503892,53,reported
source_dewpoint_depression,reference,925,32894,0.7961624566951357,42.79483333447081,1.4636222840996262,45.05461807526557,6.712273688942188,-0.0987042746422954,0.0097425338326616,45.04487554143292,0.0008195679180163,0.0049106707214825,0.7953428887771194,42.78992266374933,1.459609988906463,0.0027588881834912,-0.1009242090437179,0.1296714788843176,78,reported
