station_id,latitude,longitude,station_elevation_m,valid_level_rows,first_time,last_time,profile_count,macro_region,longitude_sector,split,block,block_stations,selected,reason
AEM00041217,24.4333,54.65,16.0,8098,2024-01-01 00:00:00,2025-12-31 12:00:00,1430,tropics,0,early_val,lat3_lon0,14,True,selected
AGM00060390,36.6899,3.2166,25.0,4702,2024-01-01 00:00:00,2025-12-31 12:00:00,786,northern_extratropics,0,calibration,lat4_lon0,92,True,selected
AGM00060680,22.8253,5.4525,1372.0,1584,2024-01-02 00:00:00,2025-12-31 00:00:00,396,tropics,0,train,lat3_lon0,14,True,selected
AOM00066160,-8.8481,13.2353,70.0,2230,2024-01-01 12:00:00,2025-12-31 12:00:00,559,tropics,0,train,lat2_lon0,8,True,selected
AQM00091765,-14.3383,-170.7191,5.5,5213,2024-01-01 00:00:00,2025-12-31 12:00:00,880,tropics,3,train,lat2_lon3,3,False,below_minimum
ARM00087155,-27.4389,-59.046,53.0,4118,2024-01-01 12:00:00,2025-12-31 12:00:00,694,tropics,5,train,lat2_lon5,17,True,selected
ARM00087344,-31.2966,-64.2119,493.0,3649,2024-01-01 12:00:00,2025-12-31 12:00:00,732,southern_extratropics,4,train,lat1_lon4,8,True,selected
ARM00087418,-32.8438,-68.7963,705.0,3541,2024-01-01 12:00:00,2025-12-31 12:00:00,714,southern_extratropics,4,test,lat1_lon4,8,True,selected
ARM00087623,-36.5931,-64.2799,190.0,3683,2024-01-01 12:00:00,2025-12-31 12:00:00,715,southern_extratropics,4,train,lat1_lon4,8,True,selected
ARM00087715,-38.952,-68.1367,270.0,3439,2024-01-01 12:00:00,2025-12-31 12:00:00,687,southern_extratropics,4,train,lat1_lon4,8,True,selected
ARM00087860,-45.7923,-67.4619,46.0,4084,2024-01-12 12:00:00,2025-12-31 12:00:00,711,southern_extratropics,4,calibration,lat1_lon4,8,True,selected
ASM00094120,-12.4239,130.8925,31.4,6710,2024-01-01 00:00:00,2025-11-18 00:00:00,1123,tropics,2,test,lat2_lon2,17,True,selected
ASM00094170,-12.6778,141.9208,19.2,2417,2024-01-01 00:00:00,2025-12-31 00:00:00,404,tropics,2,train,lat2_lon2,17,True,selected
ASM00094203,-17.9475,122.2353,17.4,4241,2024-01-01 00:00:00,2025-12-31 00:00:00,709,tropics,2,train,lat2_lon2,17,True,selected
ASM00094299,-16.2833,149.965,9.0,8151,2024-01-01 00:00:00,2025-12-31 12:00:00,1360,tropics,2,test,lat2_lon2,17,True,selected
ASM00094302,-22.2405,114.0967,6.0,8364,2024-01-01 00:00:00,2025-12-31 12:00:00,1395,tropics,1,train,lat2_lon1,10,True,selected
ASM00094312,-20.3725,118.6317,10.1,2479,2024-01-01 00:00:00,2025-12-30 00:00:00,414,tropics,1,train,lat2_lon1,10,True,selected
ASM00094332,-20.6778,139.4875,341.7,2058,2024-01-02 00:00:00,2025-12-31 00:00:00,412,tropics,2,test,lat2_lon2,17,True,selected
ASM00094403,-28.8044,114.6989,36.9,2481,2024-01-02 00:00:00,2025-12-31 00:00:00,414,tropics,1,train,lat2_lon1,10,True,selected
ASM00094430,-26.6136,118.5372,522.1,1907,2024-01-02 00:00:00,2025-12-31 00:00:00,382,tropics,1,train,lat2_lon1,10,True,selected
ASM00094461,-25.0342,128.3011,580.0,7245,2024-01-01 00:00:00,2025-12-31 12:00:00,1450,tropics,2,train,lat2_lon2,17,True,selected
ASM00094510,-26.4139,146.2558,305.7,3633,2024-01-01 00:00:00,2025-12-31 00:00:00,727,tropics,2,train,lat2_lon2,17,True,selected
ASM00094578,-27.3917,153.1292,4.0,8714,2024-01-01 00:00:00,2025-12-31 12:00:00,1454,tropics,2,train,lat2_lon2,17,True,selected
ASM00094610,-31.9275,115.9764,20.4,8669,2024-01-01 00:00:00,2025-12-31 12:00:00,1447,southern_extratropics,1,train,lat1_lon1,3,False,below_minimum
ASM00094637,-30.7847,121.4533,366.7,2085,2024-01-01 00:00:00,2025-12-31 00:00:00,417,southern_extratropics,2,calibration,lat1_lon2,12,True,selected
ASM00094659,-31.1558,136.8053,167.0,3858,2024-01-04 00:00:00,2025-12-31 00:00:00,714,southern_extratropics,2,train,lat1_lon2,12,True,selected
ASM00094672,-34.9525,138.5203,6.1,8421,2024-01-01 00:00:00,2025-12-31 12:00:00,1407,southern_extratropics,2,train,lat1_lon2,12,True,selected
ASM00094711,-31.4839,145.8294,260.0,1989,2024-01-01 00:00:00,2025-12-30 00:00:00,397,southern_extratropics,2,train,lat1_lon2,12,True,selected
ASM00094802,-34.9414,117.8022,71.0,2810,2024-01-02 00:00:00,2025-12-30 00:00:00,477,southern_extratropics,1,train,lat1_lon1,3,False,below_minimum
ASM00094866,-37.6656,144.8322,132.3,7574,2024-01-01 00:00:00,2025-10-27 00:00:00,1317,southern_extratropics,2,train,lat1_lon2,12,True,selected
ASM00094910,-35.1583,147.4572,220.7,2173,2024-01-01 00:00:00,2025-12-31 00:00:00,421,southern_extratropics,2,test,lat1_lon2,12,True,selected
ASM00094995,-31.5422,159.0786,5.2,4066,2024-01-01 00:00:00,2025-12-31 00:00:00,681,southern_extratropics,2,train,lat1_lon2,12,True,selected
ASM00094998,-54.4994,158.9369,6.0,7808,2024-01-01 00:00:00,2025-12-31 12:00:00,1437,southern_extratropics,2,train,lat1_lon2,12,True,selected
ASM00095527,-29.4897,149.8472,213.7,2068,2024-01-01 00:00:00,2025-12-31 00:00:00,405,tropics,2,early_val,lat2_lon2,17,True,selected
ATM00094001,-23.127,150.701,40.0,2993,2024-01-01 00:00:00,2025-12-31 00:00:00,507,tropics,2,early_val,lat2_lon2,17,True,selected
ATM00094005,-42.9677,147.5342,10.1,6287,2024-06-04 12:00:00,2025-12-31 12:00:00,1084,southern_extratropics,2,train,lat1_lon2,12,True,selected
ATM00095282,-19.6337,146.8578,63.5,4302,2024-01-01 00:00:00,2025-12-31 00:00:00,724,tropics,2,train,lat2_lon2,17,True,selected
AUM00011035,48.2486,16.3564,198.0,7378,2024-01-01 00:00:00,2025-12-31 12:00:00,1432,northern_extratropics,0,test,lat4_lon0,92,True,selected
AYM00089062,-67.5703,-68.1236,33.0,2738,2024-01-01 12:00:00,2025-12-31 12:00:00,546,southern_extratropics,4,train,lat0_lon4,1,False,below_minimum
AYM00089512,-70.7678,11.8317,118.9,2923,2024-01-01 00:00:00,2025-12-31 00:00:00,608,southern_extratropics,0,test,lat0_lon0,2,False,below_minimum
AYM00089532,-69.0053,39.5811,29.1,5187,2024-01-01 00:00:00,2025-12-31 12:00:00,1349,southern_extratropics,0,calibration,lat0_lon0,2,False,below_minimum
AYM00089564,-67.6017,62.8753,9.9,3477,2024-01-01 12:00:00,2025-12-31 12:00:00,709,southern_extratropics,1,train,lat0_lon1,4,False,below_minimum
AYM00089571,-68.5744,77.9672,18.0,6937,2024-01-01 00:00:00,2025-12-31 12:00:00,1437,southern_extratropics,1,train,lat0_lon1,4,False,below_minimum
AYM00089592,-66.5519,93.0147,43.4,3358,2024-01-01 00:00:00,2025-12-31 00:00:00,698,southern_extratropics,1,early_val,lat0_lon1,4,False,below_minimum
AYM00089611,-66.2825,110.523,40.0,6805,2024-01-01 00:00:00,2025-12-31 12:00:00,1416,southern_extratropics,1,train,lat0_lon1,4,False,below_minimum
AYM00089642,-66.663,140.0011,43.0,3267,2024-01-01 00:00:00,2025-12-31 00:00:00,683,southern_extratropics,2,early_val,lat0_lon2,2,False,below_minimum
AYM00089664,-77.85,166.6667,,4689,2024-01-01 00:00:00,2025-12-31 12:00:00,996,southern_extratropics,2,train,lat0_lon2,2,False,below_minimum
BBM00078954,13.0716,-59.4922,56.6,7987,2024-01-01 00:00:00,2025-12-31 12:00:00,1334,tropics,5,early_val,lat3_lon5,7,False,outside_top20_after_southern_reservation
BDM00078016,32.3669,-64.6772,,4960,2024-01-01 12:00:00,2025-12-31 12:00:00,831,northern_extratropics,4,train,lat4_lon4,69,True,selected
BEM00006458,50.7456,4.7633,112.8,3696,2024-01-02 00:00:00,2025-12-30 00:00:00,647,northern_extratropics,0,train,lat4_lon0,92,True,selected
