component,nominal_coverage,empirical_coverage,n
dry,0.5,0.5746381485044881,283749
dry,0.6,0.6688587448766339,283749
dry,0.7,0.7528590409129196,283749
dry,0.8,0.828683096680517,283749
dry,0.9,0.8980965571684835,283749
dry,0.95,0.9327468995485446,283749
wet,0.5,0.5524530482926812,283749
wet,0.6,0.6452991904817286,283749
wet,0.7,0.7318369403945036,283749
wet,0.8,0.8119535223031623,283749
wet,0.9,0.8892366140497412,283749
wet,0.95,0.9286587794142006,283749
total,0.5,0.555170238485422,283749
total,0.6,0.6489855470856285,283749
total,0.7,0.735992021117255,283749
total,0.8,0.816598472593736,283749
total,0.9,0.8935256159493074,283749
total,0.95,0.9322957966371688,283749
